weathersit,temp,cnt
2,0.344167,985
2,0.363478,801
1,0.196364,1349
1,0.2,1562
1,0.226957,1600
1,0.204348,1606
2,0.196522,1510
2,0.165,959
1,0.138333,822
1,0.150833,1321
2,0.169091,1263
1,0.172727,1162
1,0.165,1406
1,0.16087,1421
2,0.233333,1248
1,0.231667,1204
2,0.175833,1000
2,0.216667,683
2,0.292174,1650
2,0.261667,1927
1,0.1775,1543
1,0.0591304,981
1,0.0965217,986
1,0.0973913,1416
2,0.223478,1985
3,0.2175,506
1,0.195,431
2,0.203478,1167
1,0.196522,1098
1,0.216522,1096
2,0.180833,1501
2,0.192174,1360
2,0.26,1526
1,0.186957,1550
2,0.211304,1708
2,0.233333,1005
1,0.285833,1623
1,0.271667,1712
1,0.220833,1530
2,0.134783,1605
1,0.144348,1538
1,0.189091,1746
1,0.2225,1472
1,0.316522,1589
1,0.415,1913
1,0.266087,1815
1,0.318261,2115
1,0.435833,2475
1,0.521667,2927
1,0.399167,1635
1,0.285217,1812
2,0.303333,1107
1,0.182222,1450
1,0.221739,1917
2,0.295652,1807
2,0.364348,1461
1,0.2825,1969
1,0.343478,2402
2,0.407273,1446
1,0.266667,1851
1,0.335,2134
1,0.198333,1685
2,0.261667,1944
2,0.384167,2077
2,0.376522,605
1,0.261739,1872
1,0.2925,2133
2,0.295833,1891
3,0.389091,623
2,0.316522,1977
1,0.329167,2132
1,0.384348,2417
1,0.325217,2046
2,0.317391,2056
2,0.365217,2192
1,0.415,2744
1,0.54,3239
1,0.4725,3117
1,0.3325,2471
2,0.430435,2077
1,0.441667,2703
2,0.346957,2121
2,0.285,1865
1,0.264167,2210
1,0.265833,2496
2,0.253043,1693
1,0.264348,2028
1,0.3025,2425
2,0.3,1536
3,0.268333,1685
2,0.3,2227
2,0.315,2252
1,0.378333,3249
1,0.573333,3115
2,0.414167,1795
1,0.390833,2808
1,0.4375,3141
2,0.335833,1471
2,0.3425,2455
2,0.426667,2895
2,0.595652,3348
2,0.5025,2034
2,0.4125,2162
1,0.4675,3267
1,0.446667,3126
3,0.430833,795
1,0.456667,3744
1,0.5125,3429
2,0.505833,3204
1,0.595,3944
1,0.459167,4189
2,0.336667,1683
2,0.46,4036
2,0.581667,4191
1,0.606667,4073
1,0.631667,4400
2,0.62,3872
2,0.6175,4058
1,0.51,4595
1,0.4725,5312
2,0.451667,3351
2,0.549167,4401
2,0.616667,4451
2,0.414167,2633
1,0.459167,4433
1,0.479167,4608
1,0.52,4714
1,0.528333,4333
1,0.5325,4362
1,0.5325,4803
1,0.5425,4182
1,0.535,4864
2,0.5125,4105
2,0.520833,3409
2,0.5625,4553
1,0.5775,3958
2,0.561667,4123
2,0.55,3855
2,0.530833,4575
1,0.536667,4917
1,0.6025,5805
1,0.604167,4660
2,0.631667,4274
2,0.66,4492
1,0.660833,4978
1,0.708333,4677
1,0.681667,4679
1,0.655833,4758
1,0.6675,4788
1,0.733333,4098
1,0.775,3982
2,0.764167,3974
1,0.715,4968
1,0.62,5312
1,0.635,5342
2,0.648333,4906
1,0.678333,4548
1,0.7075,4833
1,0.775833,4401
2,0.808333,3915
